Neighborhood;Latitude;Longitude
Keskusta;62.60128350395353;29.76364569527613
Niinivaara/Penttila;62.592992791331824;29.786132790038305
Etu-Noljakka;62.620140752817825;29.709179676856458
Taka-Noljakka;62.62570544031969;29.695278653160354
Rantakyla;62.61678070669838;29.8190657901015
Hukanhauta;62.58503715022011;29.79473479001646
Kanervala;62.612818542950755;29.752171357206176
